Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"",9780805092998,hardcover,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
The Astonishing Color of After,Emily X.R. Pan,"",9780316463997,hardcover,to-read,2024/08/30,"","",0,"",,,,,,,,,"",,"",No
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Please Report Your Bug Here,Josh Riedel,"",9781250813794,hardcover,to-read,2023/11/13,"","",0,"",,,,,,,,,"",,"",No
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,to-read,2023/12/23,"","",0,"",,,,,,,,,"",,"",No
40 Rules of Love,Elif Shafak,"","",,to-read,2024/01/17,"","",0,"",,,,,,,,,"",,"",No
Kindred,Octavia E. Butler,"",9781472258229,paperback,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
Happy Place,Emily Henry,"",9780593441275,hardcover,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
The Butterfly Lion,Michael Morpurgo,"",9780670874613,hardcover,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"",9780307907035,digital,to-read,2023/08/07,"","",0,"",,,,,,,,,"",,"",No
The Guest Cat,Takashi Hiraide,Eric Selland (Translator),9780811221504,paperback,read,2024/10/07,2024/10/08,2024/10/07-2024/10/08,1,"funny, sad, reflective, emotional",medium,A mix,No,Yes,No,"",5.0,"<div>I loved this book, it was so hygge and cute and sad and wholesome and now I miss my cat 😢</div>","","","",Yes
Conversations on Love,Natasha Lunn,"",9780241448731,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"",9780684853949,paperback,to-read,2024/06/15,"","",0,"",,,,,,,,,"",,"",No
Good Intentions,Kasim Ali,"",9780008450656,hardcover,read,2022/09/21,2022/10/07,2022/10/06-2022/10/07,1,"",,"","","","","",4.75,"","","","",No
Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life with ADHD,Tamara Rosier,"",9780800739423,paperback,to-read,2023/08/20,"","",0,"",,,,,,,,,"",,"",No
The Little Paris Bookshop,Nina George,"",9780553418774,hardcover,to-read,2022/09/20,"","",0,"",,,,,,,,,"",,"",No
The Bluest Eye,Toni Morrison,"",9780452287068,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
We Are All Birds of Uganda,Hafsa Zayyan,"",9781529118643,hardcover,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9780452262935,paperback,to-read,2024/08/06,"","",0,"",,,,,,,,,"",,"",No
"Hi, Anxiety: Life with a Bad Case of Nerves",Kat Kinsman,"",9780062369680,hardcover,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",Yes
A Tale of Two Cities,Charles Dickens,Richard Maxwell (Contributor),9780141439600,paperback,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
The Expectation Effect: How Your Mindset Can Change Your World,David Robson,"",9781250827630,hardcover,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
Turtles All the Way Down,John Green,"",9780525555360,hardcover,read,2022/09/19,2021,2021,1,"",,,,,,,,,"",,"",No
The Pathless Path: Imagining a New Story For Work and Life,Paul Millerd,"",9798985515305,paperback,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
What We Fed to the Manticore,Talia Lakshmi Kolluri,"",9781953534415,paperback,read,2024/08/13,2024/08/31,2024/08/28-2024/08/31,1,"",,,,,,,,,"",,"",No
Breasts and Eggs,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781609455873,hardcover,to-read,2023/10/15,"","",0,"",,,,,,,,,"",,"",No
Starfall,Brenda Hiatt,"",,digital,read,2022/09/30,2023/12/28,2023/12/21-2023/12/28,2,"",,,,,,,,,"",,"",No
M Train: A Memoir,"Patti Smith, Patti Smith","",,digital,currently-reading,2024/10/07,"","",0,"",,,,,,,,,"",,"",Yes
My Year Abroad,Chang-rae Lee,"",9780593396025,paperback,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
I Who Have Never Known Men,Jacqueline Harpman,"Ros Schwartz (Translator), Sophie Mackintosh (Contributor)",9781529111798,paperback,to-read,2024/06/05,"","",0,"",,,,,,,,,"",,"",No
Expectation,Anna Hope,"",9780857524904,hardcover,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
Tea with Elephants,Robin Jones Gunn,"",9780800744823,paperback,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
Assembly,Natasha Brown,"",9780241515709,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,"",9780374214913,hardcover,read,2022/09/26,2022/09/29,2022/09/25-2022/09/29,1,"",,"","","","","",3.0,"","","","",No
What You Are Looking For is in the Library,Michiko Aoyama,Alison Watts (Translator),9780857529121,hardcover,to-read,2023/10/17,"","",0,"",,,,,,,,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
My Holiday in North Korea: The Funniest/Worst Place on Earth,Wendy E. Simmons,"",9780795347047,paperback,to-read,2024/09/09,"","",0,"",,,,,,,,,"",,"",No
I Know Why the Caged Bird Sings,Maya Angelou,"",9780860685111,paperback,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2022/09/20,2021,2021,1,"",,,,,,,,,"",,"",No
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","Ichiro Kishimi, Fumitake Koga","",9781760630737,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,read,2022/09/19,2022/10/03,2022/09/29-2022/10/03,1,"",,"","","","","",3.25,"","","","",No
"Someday Is Today: 22 Simple, Actionable Ways to Propel Your Creative Life","Matthew Shepard, Matthew Dicks, Elysha Dicks","",9781608687503,paperback,to-read,2024/04/04,"","",1,"",,,,,,,,,"",,"",No
No Such Thing as Normal,Bryony Gordon,"",9781472290564,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Find Me,André Aciman,"",9780374155018,hardcover,to-read,2022/09/20,"","",0,"",,,,,,,,,"",,"",No
Maame,Jessica George,"",9781250282521,hardcover,to-read,2024/03/28,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,read,2023/08/12,2024/09/01,2024/08/30-2024/09/01,1,"mysterious, informative",fast,A mix,No,"","","",4.25,"","","","",No
I'm a Fan,Sheena Patel,"",9781914236150,hardcover,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,"",No
The City and Its Uncertain Walls,Haruki Murakami,"",9781787304475,hardcover,to-read,2024/08/16,"","",0,"",,,,,,,,,"",,"",No
The Valley of Amazement,Amy Tan,"",9780062107312,hardcover,to-read,2024/10/07,"","",0,"",,,,,,,,,"",,"",Yes
The Fall,Albert Camus,Justin O'Brien (Translator),9780679720225,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Complete Maus,Art Spiegelman,"",9780141014081,paperback,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
"Talking to My Daughter About the Economy: or, How Capitalism Works—And How It Fails",Yanis Varoufakis,"Yanis Varoufakis (Translator), Jacob Moe (Translator)",9780374538491,paperback,did-not-finish,2024/01/20,"","",0,"",,,,,,,,,"",,"",No
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220683,hardcover,read,2023/06/26,2023/07/10,2023/06/26-2023/07/10,1,"",,,,,,,,,"",,"",No
The Circle,Dave Eggers,"",9780241146507,paperback,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
Stumbling on Happiness,Daniel Gilbert,"",9781400077427,paperback,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,L.J. Ganser,9780060521998,paperback,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
"The Calcutta Chromosome: A Novel of Fevers, Delirium & Discovery",Amitav Ghosh,"",9780380813940,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Alone With You in the Ether,Olivie Blake,"",9798655480407,paperback,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,"",No
The Upside of Uncertainty: A Guide to Finding Possibility in the Unknown,Nathan R Furr,"",9781647823016,hardcover,did-not-finish,2024/04/17,"","",0,"",,,,,,,,,"",,"",No
The Wife,Meg Wolitzer,"",9780743456661,paperback,did-not-finish,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
The Ocean at the End of the Lane,Neil Gaiman,Neil Gaiman (Narrator),9780062255686,audio,did-not-finish,2024/09/10,"","",0,"",,,,,,,,,"",,"",No
The Goldfinch,Donna Tartt,"",9780316055437,hardcover,to-read,2023/12/23,"","",0,"",,,,,,,,,"",,"",No
Anna Karenina,Leo Tolstoy,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780143035008,paperback,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
Going Solo,Zoe Sugg,"",9780141372174,hardcover,read,2022/09/30,"","",1,"",,,,,,,,,"",,"",No
The Checklist Manifesto: How to Get Things Right,Atul Gawande,"",9780805091748,hardcover,read,2022/09/19,2021,2021,1,"",,,,,,,,,"",,"",No
Monkey Grip,Helen Garner,"",9780140049534,paperback,to-read,2024/08/31,"","",0,"",,,,,,,,,"",,"",No
White Nights,Fyodor Dostoevsky,O.N. Shartse (Translator),"",hardcover,to-read,2024/04/27,"","",0,"",,,,,,,,,"",,"",No
